Tag,Readable,Current Value,Data Type,Sample Verdict,Min,Max
Local:2:I.Data,YES,0,int,STATIC — never changed during sample,0,0
CurrentRecipe.EnableTakeUp,YES,False,bool,STATIC — never changed during sample,,
CurrentRecipe.EnableHeater,YES,False,bool,STATIC — never changed during sample,,
CurrentRecipe.SensorModeEnable,YES,False,bool,STATIC — never changed during sample,,
Machine.Estops_Ok,YES,True,bool,STATIC — never changed during sample,,
Machine.All_Axes_Homed,YES,False,bool,STATIC — never changed during sample,,
Machine.Any_Start_Pressed,YES,False,bool,STATIC — never changed during sample,,
Machine.Any_Stop_Pressed,YES,False,bool,STATIC — never changed during sample,,
Machine.Any_Pause_Pressed,YES,False,bool,STATIC — never changed during sample,,
Machine.Auto_Run_State_Active,YES,False,bool,STATIC — never changed during sample,,
Machine_Statistics.Cur_State,YES,0,int,STATIC — never changed during sample,0,0
servoPuller_Axis.AxisFault,YES,0,int,STATIC — never changed during sample,0,0
servoPuller_Axis.MotionFaultStatus,YES,0,int,STATIC — never changed during sample,0,0
servoPuller_Axis.PositionError,YES,0.0,float,STATIC — never changed during sample,0.0,0.0
servoPuller_Axis.VelocityError,YES,0.0,float,STATIC — never changed during sample,0.0,0.0
servoPuller_Axis.TorqueReference,YES,5.312032699584961,float,ACTIVE — changed 28/29 polls (range 5.18319845199585 to 10.138489723205566),5.18319845199585,10.138489723205566
servoPuller_Axis.TorqueReferenceLimited,YES,0.0,float,STATIC — never changed during sample,0.0,0.0
servoPuller_Axis.TorqueEstimate,YES,0.0,float,STATIC — never changed during sample,0.0,0.0
servoPuller_Axis.OutputCurrent,YES,0.0,float,STATIC — never changed during sample,0.0,0.0
servoPuller_Axis.OutputVoltage,YES,0.0,float,STATIC — never changed during sample,0.0,0.0
servoPuller_Axis.OutputPower,YES,0.0,float,STATIC — never changed during sample,0.0,0.0
servoPuller_Axis.DCBusVoltage,YES,0.0,float,STATIC — never changed during sample,0.0,0.0
servoPuller_Axis.ExcessivePositionErrorFault,YES,False,bool,STATIC — never changed during sample,,
servoPuller_Axis.ExcessiveVelocityErrorFault,YES,False,bool,STATIC — never changed during sample,,
servoTable_Axis.AxisFault,YES,0,int,STATIC — never changed during sample,0,0
servoTable_Axis.MotionFaultStatus,YES,0,int,STATIC — never changed during sample,0,0
servoTable_Axis.PositionError,YES,0.0,float,STATIC — never changed during sample,0.0,0.0
servoTable_Axis.VelocityError,YES,0.0,float,STATIC — never changed during sample,0.0,0.0
servoTable_Axis.TorqueReference,YES,0.0,float,STATIC — never changed during sample,0.0,0.0
servoTable_Axis.TorqueReferenceLimited,YES,0.0,float,STATIC — never changed during sample,0.0,0.0
servoTable_Axis.TorqueEstimate,YES,0.0,float,STATIC — never changed during sample,0.0,0.0
servoTable_Axis.OutputCurrent,YES,0.0,float,STATIC — never changed during sample,0.0,0.0
servoTable_Axis.OutputVoltage,YES,0.0,float,STATIC — never changed during sample,0.0,0.0
servoTable_Axis.OutputPower,YES,0.0,float,STATIC — never changed during sample,0.0,0.0
servoTable_Axis.DCBusVoltage,YES,0.0,float,STATIC — never changed during sample,0.0,0.0
servoTable_Axis.ExcessivePositionErrorFault,YES,False,bool,STATIC — never changed during sample,,
servoTable_Axis.ExcessiveVelocityErrorFault,YES,False,bool,STATIC — never changed during sample,,
DL_IX:I.Data,YES,0,int,STATIC — never changed during sample,0,0
Program:P02_PullerServo.ServoStatus.Motor_RPM,YES,0.0,float,ACTIVE — changed 16/29 polls (range 0.0 to 126.50200653076172),0.0,126.50200653076172
Program:P02_PullerServo.ServoStatus.Peak_Torque,YES,-377.69976806640625,float,STATIC — never changed during sample,-377.69976806640625,-377.69976806640625
Program:P02_PullerServo.ServoStatus.FilteredTorque,YES,4.661302089691162,float,ACTIVE — changed 28/29 polls (range 4.661302089691162 to 9.08465576171875),4.661302089691162,9.08465576171875
Program:P02_PullerServo.Servo_Axis_Faults,YES,0,int,STATIC — never changed during sample,0,0
Program:MainProgram.Fault_SERCOS,YES,False,bool,STATIC — never changed during sample,,
Program:MainProgram.Fault_StartingTimeout,YES,False,bool,STATIC — never changed during sample,,
Program:MainProgram.Master_SegDist,YES,0.5,float,STATIC — never changed during sample,0.5,0.5
Program:MainProgram.Master_TransDist,YES,14.285714149475098,float,STATIC — never changed during sample,14.285714149475098,14.285714149475098
Program:MainProgram.Table_Drive_Fault,YES,False,bool,STATIC — never changed during sample,,
Program:P01_TableDrive.ServoStatus.Motor_RPM,YES,0.000665322586428374,float,ACTIVE — changed 25/29 polls (range -0.00024193547142203897 to 37.91213607788086),-0.00024193547142203897,37.91213607788086
Program:P01_TableDrive.ServoStatus.Peak_Torque,YES,161.18382263183594,float,STATIC — never changed during sample,161.18382263183594,161.18382263183594
Program:P01_TableDrive.ServoStatus.FilteredTorque,YES,0.0,float,STATIC — never changed during sample,0.0,0.0
